,Tweets,Label
0,"Hari Natal tahun ini tidak seperti tahun-tahun lalu ketika keceriaan dan keriaan akhir tahun menyelimuti kehidupan negeri kita. Pandemi telah mengubah banyak hal dan memberi banyak pelajaran.

Semoga kedamaian, keselamatan, dan keberkahan senantiasa mengiringi langkah kita semua. ",0
1,"Dengan internet, informasi panduan penanganan pasien Covid-19 sampai ke Puskesmas di Pulau Weh, Sabang. 

Dan di akhir Desember 2020, pemerintah akan menuntaskan penyediaan akses internet di seluruh fasilitas pelayanan kesehatan yang membutuhkan optimalisasi layanan internet. ",0
2,"Hari ini, secara resmi saya melantik enam menteri yang telah saya perkenalkan kemarin, lima wakil menteri baru Kabinet Indonesia Maju, disusul dengan pelantikan Kepala Badan Narkotika Nasional dan Kepala Badan Restorasi Gambut dan Mangrove di Istana Negara. 

Selamat bekerja. ",0
3,"Sore yang cerah tadi, ketika saya mengumumkan enam nama calon menteri baru anggota Kabinet Indonesia Maju. 

Mereka yang akan saya lantik besok yakni Tri Rismaharini, Sandiaga Salahuddin Uno, Budi Gunadi Sadikin, Yaqut Cholil Qoumas, Sakti Wahyu Trenggono, dan Muhammad Lutfi. ",0
4,"Yang lalu biarlah berlalu, menjadi kenangan, juga pelajaran. Kita menatap hari esok dengan tekad, semangat, dan memancang harapan yang baru. ",0
5,"Tahun ini segera berlalu, tapi akan selalu teringat. Tahun ketika dunia dihentak pandemi. Di tahun ini pula, ibu saya tercinta berpulang. Ibu yang selalu hadir, menguatkan, dan mendoakan langkah saya. 

Salam hormat kepada para ibu dan segenap perempuan Indonesia. ",0
6,"Pengucapan sumpah anggota Komisi Yudisial masa jabatan 2020-2025 digelar hari ini di Istana Negara. Tujuh anggota Komisi Yudisial itu adalah Joko Sasmito, M. Taufiq HZ, Binziad Kadafi, Sukma Violetta, Amzulian Rifai, Mukti Fajar Nur Dewata, dan Siti Nurdjanah.

Selamat bekerja. ",0
7,"Peluncuran awal Pelabuhan Patimban ditandai dengan ekspor perdana 140 mobil merek Toyota, Daihatsu, dan Suzuki dengan Kapal MV Suzuka Express dengan tujuan Brunei Darussalam. 

Pelabuhan ini akan memperkuat keberadaan Pelabuhan Tanjung Priok di Jakarta yang sudah terlalu padat. ",0
8,"Di suasana pandemi ini, pembangunan Pelabuhan Internasional Patimban fase pertama, salah satu proyek strategis nasional telah selesai. 

Pelabuhan Patimban di Subang, Jawa Barat menjadi salah satu pelabuhan terbesar di Indonesia yang disiapkan mendukung kegiatan ekspor dan impor. ",0
9,"Tri Mumpuni mengembangkan kemandirian masyarakat di kawasan terpencil melalui pembangkit listrik tenaga mikro hidro (PLTMH). Melalui IBEKA, Ibu Tri membangun setidaknya 65 PLTMH di desa-desa di berbagai pelosok Nusantara.",0
10,"Prof. Adi Utarini memimpin uji coba teknologi yang membantu memberantas demam berdarah, penyakit yang menyerang hingga 400 juta orang di dunia setiap tahun. Hasil penelitian Prof. Adi Utarini dan tim, mengurangi kasus demam berdarah hingga 77% di beberapa kota besar di Indonesia.",0
11,"Kabar gembira, tentang prestasi dua ilmuwan Indonesia, Ibu Adi Utarini dan Ibu Tri Mumpuni.

Prof. Adi Utarini masuk daftar ""Nature’s 10: Ten People Who Helped Shape Science in 2020"" dari jurnal sains Nature. Sementara Tri Mumpuni termasuk 22 Most Influential Muslim Scientists. ",0
12,"Macam-macam cara mengisi waktu di rumah selama pandemi. Bekerja, membaca, berolahraga, atau menggeluti aneka hobi baru bersama keluarga.  

Selamat berakhir pekan. ",0
13,"Kita terus membangun infrastruktur digital yang lengkap dan menjangkau seluruh wilayah Indonesia. Mari kita manfaatkan untuk hal-hal yang positif. 

Mengisinya dengan penuh tanggung jawab, termasuk mengisi pemberitaan di media sosial dengan keteduhan dan kesejukan. ",0
14,"Konektivitas fisik dan digital akan semakin memperkokoh persatuan dan kesatuan bangsa Indonesia. Selain itu, juga bisa dimanfaatkan untuk berbagi pengalaman dalam membangun daerah dan desa, mengingat ada 75 ribu desa, 514 kabupaten/kota, yang tersebar di 34 provinsi di Indonesia.",0
15,"Makin lama kuliah di matematika, makin gak ada angka :"") WKWKKWKWKWKW ",0
16,"Heran sama orang yang bisa ngomong ""cocok sama ini, gak cocok sama itu"" cuma berdasarkan apa yang ada di media sosial.

Yang di medsos sama di dunia nyata seringkali berbeda :)",0
17, awkawkwakakwawkkaw,0
18,banyak kerjaan tapi rasanya ga mood buat ngerjain aaaaa,0
